date,year,month,airline,published_airline,iata_code,geo_summary,geo_region,price_category,terminal,boarding_area,passenger_count
1999-08-01,1999,8,Tower Air,Tower Air,FF,Domestic,US,Other,Terminal 3,E,10161
1999-08-01,1999,8,Trans States Airlines,US Airways,US,Domestic,US,Other,Terminal 1,A,3398
1999-08-01,1999,8,US Airways,US Airways,US,Domestic,US,Other,Terminal 1,A,55368
1999-08-01,1999,8,US Airways,US Airways,US,Domestic,US,Low Fare,Terminal 1,B,30637
1999-08-01,1999,8,United Airlines,United Airlines,UA,Domestic,US,Other,Terminal 1,B,71503
1999-08-01,1999,8,United Airlines,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,F,846421
1999-08-01,1999,8,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Asia,Other,International,G,53373
1999-08-01,1999,8,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Other,International,G,6741
1999-08-01,1999,8,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,International,G,16025
1999-08-01,1999,8,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,Terminal 3,F,6896
1999-08-01,1999,8,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Europe,Other,International,G,17540
1999-08-01,1999,8,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Mexico,Other,International,G,4064
1999-08-01,1999,8,Virgin Atlantic,Virgin Atlantic,VS,International,Europe,Other,Terminal 2,D,12287
1999-09-01,1999,9,ATA Airlines,ATA Airlines,TZ,Domestic,US,Low Fare,Terminal 1,B,20659
1999-09-01,1999,9,Aeroflot Russian International Airlines,Aeroflot Russian International Airlines,,International,Europe,Other,Terminal 2,D,640
1999-09-01,1999,9,Air Canada,Air Canada,AC,International,Canada,Other,Terminal 1,B,20929
1999-09-01,1999,9,Air China,Air China,CA,International,Asia,Other,Terminal 2,D,4485
1999-09-01,1999,9,Air Europe,Air Europe,PE,International,Europe,Other,Terminal 2,D,204
1999-09-01,1999,9,Air France,Air France,AF,International,Europe,Other,Terminal 2,D,9542
1999-09-01,1999,9,Alaska Airlines,Alaska Airlines,AS,Domestic,US,Other,Terminal 2,D,36938
1999-09-01,1999,9,Alaska Airlines,Alaska Airlines,AS,International,Canada,Other,Terminal 2,D,6580
1999-09-01,1999,9,Alaska Airlines,Alaska Airlines,AS,International,Mexico,Other,Terminal 2,D,5161
1999-09-01,1999,9,Alitalia Airlines,Alitalia Airlines,AZ,International,Europe,Other,Terminal 2,D,4468
1999-09-01,1999,9,ANA,"All Nippon Company Airways, Ltd.",NH,International,Asia,Other,Terminal 2,D,3282
1999-09-01,1999,9,American Airlines,American Airlines,AA,Domestic,US,Other,Terminal 3,E,120397
1999-09-01,1999,9,Asiana Airlines,Asiana Airlines,OZ,International,Asia,Other,Terminal 2,D,3660
1999-09-01,1999,9,British Airways,British Airways,BA,International,Europe,Other,Terminal 2,D,21500
1999-09-01,1999,9,Canadian Airlines,Canadian Airlines,CP,International,Canada,Other,Terminal 3,E,4792
